Price,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,WBC,ADM,AGCO,BG,CF,CTVA,DBA,DE,FMC,JJG,MOS,NTR,VEGI,WBC,ADM,AGCO,BG,CF,CTVA,DBA,DE,FMC,JJG,MOS,NTR,VEGI,WBC,ADM,AGCO,BG,CF,CTVA,DBA,DE,FMC,JJG,MOS,NTR,VEGI,WBC,ADM,AGCO,BG,CF,CTVA,DBA,DE,FMC,JJG,MOS,NTR,VEGI,WBC,ADM,AGCO,BG,CF,CTVA,DBA,DE,FMC,JJG,MOS,NTR,VEGI,WBC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,,37.38167190551758,35.717288970947266,66.20386505126953,40.702430725097656,,21.180376052856445,72.66365051269531,38.73163986206055,,36.44337844848633,,21.115997314453125,,37.798459590302926,36.0743037893308,66.42899707969104,40.8225297314715,,21.335103092129575,73.51087746322312,38.806426284253455,,36.65836050584126,,21.2362019253146,,37.072672863112636,35.384074131640304,65.61560844747243,39.98328935097765,,21.120204790815546,71.90691032487749,38.038183435085514,,36.15673570534642,,21.04387424223933,,37.51102046937308,35.868027215843874,66.00051373764731,40.16490588937816,,21.335103092129575,72.77058542056534,38.806426284253455,,36.515039134271305,,21.2362019253146,,2039800,1208600,493900,3689000,,261800,1867900,1154153,,1572200,,1600,
2015-01-05,,36.08817672729492,34.07503128051758,64.86029815673828,40.56328582763672,,21.438257217407227,71.10903930664062,37.88182067871094,,35.79048156738281,,20.84353256225586,,37.13733450709237,35.48722017472967,66.22562880916992,41.294143460173615,,21.489832355989254,72.43333775344968,38.50049373843558,,36.379689119187404,,21.17209254283459,,35.915711120428575,33.97982831695604,64.59159370848684,40.299649651129684,,21.32650917101139,70.64018873249549,37.67106408640151,,35.679010032575,,20.659218725050142,,36.97205645202136,35.48722017472967,66.06585560169346,40.89283104827052,,21.32650917101139,72.43333775344968,38.43930402562748,,36.15674604957178,,21.17209254283459,,3828000,1472700,1114900,4224000,,510200,3007000,1216184,,2067300,,7000,
2015-01-06,,35.37675476074219,33.91634750366211,64.25025177001953,41.40252685546875,,21.584386825561523,70.51683044433594,38.1265754699707,,36.26820373535156,,20.651206970214844,,36.28219426888588,34.400300548764555,65.19435747855621,41.964950894284996,,21.653154219321564,71.56146049726065,38.7180521812108,,36.45133590651695,,20.88360236923205,,35.16835964872924,33.4799974393137,63.65473706314885,40.95874077420638,,21.5328100505835,69.8258889417794,37.779845680442726,,35.72676816957112,,20.514974657520376,,36.26063435786036,34.26542694985149,65.0781623249189,41.01293352495018,,21.59298295472453,70.96099950427133,37.9634088619883,,36.0452607508668,,20.88360236923205,,4855700,1440300,1861200,5571500,,345500,3512000,1661358,,3284500,,13000,
2015-01-07,,35.908538818359375,33.892547607421875,64.58432006835938,42.58304214477539,,21.48123550415039,70.21249389648438,38.412109375,,36.45928955078125,,20.82750701904297,,36.116931291803105,34.05121815742065,64.78040181302758,42.873041476410016,,21.670345432289768,70.6731174307354,38.568479093543765,,36.745932185173835,,21.067917792260697,,35.657026501618795,33.37685924058561,63.988805365056244,41.70864983966083,,21.48123550415039,69.70251335818861,38.05858277785403,,36.284118377014785,,20.76339778521518,,35.71451597101622,34.00361820299972,64.53348365005621,41.70864983966083,,21.661750942435102,70.65666927973714,38.37811608793662,,36.45928955078125,,20.83552086433203,,2849500,1502200,751900,6901000,,223300,3055900,852874,,2434100,,8600,
2015-01-08,,35.38396072387695,34.61450958251953,65.76811218261719,43.17475128173828,,21.403871536254883,71.1419448852539,39.36391830444336,,36.88926315307617,,21.156064987182617,,35.642655119570364,34.63037724284424,65.81894862150921,43.22601356798783,,21.653154365027472,71.21597722931918,39.38431188596061,,36.96888477796215,,21.29229728695039,,34.8809388177391,33.77354174399065,64.20670489918128,42.52151890132462,,21.395275407034035,70.42633445391962,38.61607191500429,,36.64243125613716,,20.931683454730674,,35.41989027261919,34.15435651244333,65.12176079923749,43.08980115298828,,21.56719471236299,70.87873062678739,38.67725864007847,,36.769827678376906,,20.931683454730674,,7469600,1085700,1229500,3931000,,198700,2842300,1328602,,2882300,,9300,
2015-01-09,,35.0821418762207,34.24956130981445,64.96924591064453,43.52627182006836,,21.352298736572266,70.45101165771484,39.11915588378906,,36.59465408325195,,21.067914962768555,,35.707324714224235,34.74938204465023,65.97871621118011,43.85142282361378,,21.47264127974249,71.29000516747898,39.64264579651053,,37.08831784508394,,21.236201105783337,,35.067769510361614,34.08295540701817,64.92567340697576,43.09712959627604,,21.300723595148483,70.17957018156173,38.983182769167236,,36.40356098098223,,21.04387343013023,,35.54923417227128,34.709714404905434,65.91335745567696,43.24652496165855,,21.438258398641363,71.15017396177214,39.55426566421455,,37.06442892927265,,21.04387343013023,,3692900,835500,529600,4201000,,1421700,2325300,1126020,,2058000,,48500,
2015-01-12,,34.643798828125,34.297157287597656,64.51895141601562,43.59070587158203,,21.197566986083984,70.28651428222656,40.24773406982422,,36.91315460205078,,21.091957092285156,,35.211495017946724,34.43996318266591,64.91112041950143,44.05646353100036,,21.403869145710964,70.44279994388255,40.410900660318816,,37.02462610865666,,21.115998627346062,,34.47852071107226,33.821139655001,63.75640519319907,42.62257782821659,,21.188970857823218,69.53800109984549,38.92200776475149,,36.02137951183297,,20.88360170721126,,35.211495017946724,34.114683760887395,64.73682493153674,43.31535337609112,,21.32650563090787,70.32764406967007,39.765034152219854,,36.73002240728815,,21.067917085708903,,3871600,1126300,870900,5121000,,324300,2497900,2266106,,3485800,,7300,
2015-01-13,,34.69409942626953,34.31302261352539,65.2742691040039,43.8279914855957,,20.99126625061035,70.64842987060547,40.40409469604492,,36.18857192993164,,20.97175407409668,,35.26898314873778,34.757307926481225,66.05134353831028,44.39187956452382,,21.352295464337562,70.97744931349764,40.85280122370741,,36.82555387598835,,21.36442333914427,,34.399472752066494,33.94807558490779,64.60613147727913,43.20844679760206,,20.96547786407843,69.92459211666181,39.71743519985555,,35.79841877945156,,20.97175407409668,,34.73003171486036,34.50343146949106,65.01282298211052,43.87632610638833,,21.352295464337562,70.78826109428937,40.43128812491523,,36.706118432253554,,21.14004024690932,,4433200,775300,735000,4941500,,363200,2634700,2040810,,2782300,,5200,
